id,Pos,Name,BV,SV,Team,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts
321,2,Byram,44,44,NOR,0,0,0,0,0,0,0,0,0,0
322,4,Hugill,54,54,NOR,0,0,0,0,0,0,0,0,0,0
323,3,Dowell,52,52,NOR,2,0.117,3,0.144,3,0.18,3,0.162,3,0.181
324,2,Zimmermann,44,44,NOR,0,0,0,0,0,0,0,0,0,0
325,3,Cantwell,53,53,NOR,26,1.356,26,1.108,25,1.315,23,1.131,26,1.396
326,2,Aarons,44,44,NOR,89,2.919,86,1.261,82,2.62,81,2.259,81,2.884
327,2,Sørensen,43,43,NOR,0,0,1,0.029,2,0.08,3,0.111,1,0.042
328,3,Placheta,49,49,NOR,2,0.107,2,0.092,3,0.164,3,0.151,3,0.167
329,4,Idah,49,49,NOR,9,0.54,13,0.636,14,0.854,12,0.666,12,0.748
330,3,Martin,50,50,NOR,0,0,0,0,0,0,0,0,0,0
331,2,Omobamidele,39,39,NOR,5,0.152,10,0.162,14,0.423,17,0.464,16,0.537
448,1,Gunn,40,40,NOR,0,0,0,0,1,0.038,1,0.037,1,0.04
449,3,Rashica,53,53,NOR,28,1.391,24,1.013,28,1.387,29,1.331,32,1.598
456,2,Gibson,44,44,NOR,60,1.817,66,0.903,66,1.924,60,1.548,59,1.926
457,2,Giannoulis,44,44,NOR,64,2.142,51,0.85,61,1.989,53,1.537,59,2.13
471,3,Lees-Melou,50,50,NOR,73,2.572,70,2.013,71,2.486,68,2.255,68,2.477
515,2,Mumba,40,40,NOR,0,0,0,0,0,0,0,0,0,0
516,4,Sargent,54,54,NOR,51,2.422,52,1.917,47,2.278,48,2.064,47,2.323
528,3,Tzolis,49,49,NOR,29,1.546,26,1.152,31,1.689,34,1.672,35,1.942
580,2,Kabak,45,45,NOR,68,2.136,65,0.956,66,2.001,66,1.777,64,2.167
581,3,Normann,45,45,NOR,76,2.599,73,2.064,70,2.418,66,2.178,69,2.453
332,3,Walcott,58,58,SOU,12,0.692,19,1.046,17,0.881,13,0.723,15,0.842
333,1,Forster,44,44,SOU,0,0,0,0,2,0.079,0,0,2,0.081
334,1,McCarthy,45,45,SOU,90,3.522,89,3.724,87,3.407,89,3.508,87,3.509
335,3,Romeu,45,45,SOU,81,2.536,81,2.617,75,2.333,75,2.365,74,2.359
336,3,Redmond,59,59,SOU,71,3.393,71,3.614,71,3.106,66,2.96,66,2.991
338,2,Stephens,44,44,SOU,0,0,0,0,0,0,0,0,0,0
339,3,S.Armstrong,58,58,SOU,80,3.202,77,3.192,58,2.407,56,2.377,58,2.437
341,3,Ward-Prowse,64,64,SOU,0,0,0,0,82,3.241,80,3.275,79,3.256
342,2,Walker-Peters,48,48,SOU,74,2.65,67,2.773,70,2.443,62,2.247,68,2.542
343,2,Bednarek,44,44,SOU,88,2.824,82,3.103,83,2.616,82,2.663,81,2.737
344,4,Nlundulu,45,45,SOU,0,0,0,0,0,0,0,0,0,0
345,4,Adams,68,68,SOU,0,0,0,0,0,0,0,0,0,0
346,3,Tella,48,48,SOU,7,0.385,7,0.394,5,0.266,7,0.383,7,0.379
